"replicate"	"sample"	"bin1"	"bin2"	"bin3"	"bin4"	"total"
"1"	"BCL_AncSR1"	-4.63981549592021	-4.30660271816837	-3.64123883352543	-2.61216998758372	-4.43560410078835
"1"	"BCL_AncSR2"	-4.63891526348317	-4.27646772591629	-3.59991202485262	-2.6324640626842	-4.3089867009314
"1"	"ERE_AncSR1_control"	-4.6226554407301	-4.22235148620195	-3.39950489198705	-2.65985073079738	-3.16740929070499
"1"	"ERE_AncSR2_null_control"	-4.64165459605388	-4.33179606175336	-3.90574887327663	-2.60367829076704	-4.49680843438527
"1"	"ERE_AncSR2+rh_control"	-4.61887434490157	-4.18936240297614	-3.40983211757151	-2.61712437985034	-3.02055716384943
"1"	"full_lib_hr1"	-4.64771421228705	-4.29433124176256	-3.57423217100962	-2.61979795413443	-4.37501679565233
"1"	"full_lib_hr2"	-4.6325191576105	-4.30321832915795	-3.55756976303783	-2.62963118707918	-4.38562412202899
"1"	"full_lib_hr3"	-4.63383136981086	-4.30250866513361	-3.54476089437819	-2.64666246020966	-4.38917901181018
"1"	"full_lib_hr4"	-4.63959710559669	-4.30934920319648	-3.53584697986622	-2.65986890398847	-4.40981284812037
"1"	"full_lib_hr5"	-4.63779374799878	-4.30794694700784	-3.5263182730962	-2.67002092980184	-4.41011570588211
"1"	"SRE1_AncSR1+GGKM_control"	-4.65013784391996	-4.25662317978418	-3.42281033012146	-2.78317246854932	-3.85689637852587
"1"	"SRE1_AncSR2_control"	-4.6335032061423	-4.26706589341243	-3.51897611404426	-2.79281689240206	-4.14239894172723
"1"	"SRE1_AncSR2+GGKM_sat_control"	-4.53194795921148	-4.2794589108054	-3.16308935639596	-2.50535496831722	-2.52781876336304
"1"	"SRE1_AncSR2+rh_control"	-4.64607746064874	-4.320913048675	-3.88930218854017	NA	-4.48701054949799
"2"	"BCL_AncSR1"	-4.65817042774218	-4.30531355926895	-3.62794744984887	-2.6417388885657	-4.45328164696693
"2"	"BCL_AncSR2"	-4.65190670697924	-4.29071816139516	-3.56830364970908	-2.65070388772227	-4.35430997848887
"2"	"full_lib_hr1"	-4.65436755953072	-4.29585445919729	-3.57397753674624	-2.65493443788802	-4.40332976004507
"2"	"full_lib_hr2"	-4.65211827271239	-4.30265364638585	-3.54855624405688	-2.67497945691077	-4.41720781318162
"2"	"full_lib_hr3"	-4.65651441930813	-4.30511573004493	-3.53828954375508	-2.67958214121297	-4.42799323486072
"2"	"full_lib_hr4"	-4.6562251044824	-4.30558662370423	-3.53448303812048	-2.68077914195537	-4.43370248700687
"2"	"full_lib_hr5"	-4.66105233880532	-4.30780807995336	-3.52961113641817	-2.68385453351053	-4.44278373251371
"3"	"BCL_AncSR1"	-4.66137160300658	-4.31699183973127	-3.61472224444003	-2.63364178128047	-4.47256858295606
"3"	"BCL_AncSR2"	-4.65405859079282	-4.2935383680543	-3.53881880006133	-2.64196912088592	-4.34003722679893
"3"	"full_lib_hr1"	-4.64743008467268	-4.29523891246134	-3.56001539597494	-2.65279338152497	-4.36598478053922
"3"	"full_lib_hr2"	-4.64252361445267	-4.29585642576925	-3.55299423848112	-2.65889698483416	-4.36568037159329
"3"	"full_lib_hr3"	-4.64178531564857	-4.29847056080753	-3.52653804088189	-2.66936892401859	-4.37324781163038
"3"	"full_lib_hr4"	-4.64177038605007	-4.30148422853376	-3.53399689634999	-2.67317828652234	-4.37579873958294
"3"	"full_lib_hr5"	-4.65116860935559	-4.30262543241812	-3.52232616905684	-2.67081928644823	-4.38920677344234
"4"	"ERE_AncSR1_control"	-4.65149508998993	-4.19996158982233	-3.40566470637218	-2.61838715492341	-3.03152245799797
"4"	"ERE_AncSR2+rh_control"	-4.66259088089881	-4.18975367009982	-3.31286326995242	-2.57267906591991	-2.84036341670343
"4"	"full_lib_hr1"	-4.68475032401172	-4.30270638766086	-3.54803279790668	-2.65077908863379	-4.46158455047121
"4"	"SRE1_AncSR1+GGKM_control"	-4.67430306041984	-4.24044585336165	-3.40474390811389	-2.75251941239031	-3.67310853009777
"4"	"SRE1_AncSR2_control"	-4.62486635156202	-4.23976709592847	-3.5115989073781	-2.77150429026244	-3.95192953707691
"4"	"SRE1_AncSR2+GGKM_sat_control"	-4.89607983017051	-4.14588746785064	-3.19145229006738	-2.45857748413679	-2.47643623885948
