"1"	"2"	"3"	"4"	"total"
"BCL_AncSR1"	-4.63981549592021	-4.30660271816837	-3.64123883352543	-2.61216998758372	-4.43560410078835
"BCL_AncSR2"	-4.63891526348317	-4.27646772591629	-3.59991202485262	-2.6324640626842	-4.3089867009314
"ERE_AncSR1_control"	-4.6226554407301	-4.22235148620195	-3.39950489198705	-2.65985073079738	-3.16740929070499
"ERE_AncSR2_null_control"	-4.64165459605388	-4.33179606175336	-3.90574887327663	-2.60367829076704	-4.49680843438527
"ERE_AncSR2+rh_control"	-4.61887434490157	-4.18936240297614	-3.40983211757151	-2.61712437985034	-3.02055716384943
"full_lib_hr1"	-4.64771421228705	-4.29433124176256	-3.57423217100962	-2.61979795413443	-4.37501679565233
"full_lib_hr2"	-4.6325191576105	-4.30321832915795	-3.55756976303783	-2.62963118707918	-4.38562412202899
"full_lib_hr3"	-4.63383136981086	-4.30250866513361	-3.54476089437819	-2.64666246020966	-4.38917901181018
"full_lib_hr4"	-4.63959710559669	-4.30934920319648	-3.53584697986622	-2.65986890398847	-4.40981284812037
"full_lib_hr5"	-4.63779374799878	-4.30794694700784	-3.5263182730962	-2.67002092980184	-4.41011570588211
"SRE1_AncSR1+GGKM_control"	-4.65013784391996	-4.25662317978418	-3.42281033012146	-2.78317246854932	-3.85689637852587
"SRE1_AncSR2_control"	-4.6335032061423	-4.26706589341243	-3.51897611404426	-2.79281689240206	-4.14239894172723
"SRE1_AncSR2+GGKM_sat_control"	-4.53194795921148	-4.2794589108054	-3.16308935639596	-2.50535496831722	-2.52781876336304
"SRE1_AncSR2+rh_control"	-4.64607746064874	-4.320913048675	-3.88930218854017	NA	-4.48701054949799
